"carat","cut","color","clarity","depth","table","price","x","y","z"
0.41,"Premium","I","VVS2",62.9,58,1061,4.74,4.71,2.97
0.43,"Very Good","E","SI2",59,60,765,4.9,4.96,2.91
0.7,"Good","G","SI1",63.5,61,2074,5.61,5.64,3.57
1.03,"Ideal","G","SI1",62.2,59,5684,6.41,6.45,4
0.26,"Very Good","D","VVS2",62.4,54,554,4.08,4.13,2.56
1.23,"Ideal","H","VVS2",62,55,8079,6.85,6.9,4.26
0.46,"Ideal","I","VS1",62.3,56,911,4.93,4.96,3.08
1.13,"Fair","I","VS2",55.9,67,4695,7.05,6.94,3.9
1.23,"Premium","F","VS1",61.3,60,9489,6.94,6.9,4.24
0.3,"Very Good","J","VS1",63.5,58,506,4.27,4.24,2.7
0.32,"Ideal","G","VS2",61.7,57,561,4.38,4.4,2.71
1.3,"Good","E","VVS2",62.8,59,12967,6.95,6.99,4.38
0.84,"Ideal","I","VS2",61.7,55,3475,6.07,6.11,3.76
0.3,"Premium","I","VS1",59.1,59,608,4.38,4.35,2.58
0.7,"Good","D","SI2",59.3,64,2312,5.8,5.76,3.43
1.1,"Very Good","G","IF",59.8,56,9053,6.75,6.82,4.06
1.16,"Ideal","G","VS2",61.7,57,7113,6.72,6.8,4.17
0.7,"Ideal","F","SI1",60.3,58,2671,5.76,5.81,3.49
0.5,"Good","F","SI2",63.8,59,1094,5.02,4.95,3.18
1.09,"Premium","G","VS2",61,59,6906,6.6,6.65,4.04
0.74,"Ideal","F","VS1",62.3,56,3170,5.79,5.76,3.6
1.22,"Premium","I","VS2",60.1,58,5405,6.92,7,4.18
1.35,"Premium","I","SI1",62.1,58,6340,7.07,7,4.37
1.29,"Fair","H","I1",67.7,62,2596,6.69,6.59,4.5
0.9,"Good","H","VS2",61.9,58,3989,6.14,6.18,3.81
0.24,"Very Good","J","VVS2",62.8,57,336,3.94,3.96,2.48
1.01,"Very Good","F","SI2",63.5,56,3897,6.38,6.35,4.04
1,"Premium","E","VS2",62.8,60,6720,6.36,6.32,3.98
1,"Ideal","I","SI2",60.9,57,3811,6.43,6.47,3.93
0.4,"Ideal","G","SI1",61.3,56,701,4.73,4.76,2.91
0.57,"Premium","E","SI1",61.4,58,1728,5.34,5.28,3.26
0.33,"Ideal","H","VS1",61.7,54,579,4.45,4.47,2.75
0.32,"Good","I","SI1",63.1,56,432,4.36,4.39,2.76
0.73,"Premium","I","VVS2",61.5,58,2519,5.78,5.73,3.54
1.06,"Very Good","F","SI1",61.2,57,5142,6.58,6.68,4.06
0.35,"Ideal","F","SI1",62.5,54,748,4.52,4.5,2.82
1.2,"Good","I","SI1",62.3,58,5211,6.66,6.72,4.17
0.7,"Very Good","G","VS2",62.2,61,2633,5.54,5.59,3.46
0.59,"Ideal","E","SI2",62.2,55,1286,5.38,5.4,3.35
1.01,"Good","D","VS2",62.1,59,6998,6.28,6.35,3.92
0.31,"Premium","G","SI1",61.7,55,593,4.38,4.37,2.7
1.05,"Good","E","SI1",64.2,61,4878,6.33,6.41,4.09
1.72,"Ideal","G","SI2",62.8,59,10268,7.62,7.55,4.76
1.53,"Very Good","I","SI1",63,58,9183,7.24,7.32,4.59
0.33,"Ideal","G","VS1",61.4,55,666,4.44,4.48,2.74
0.35,"Ideal","G","IF",62,54,1001,4.54,4.56,2.82
0.71,"Good","F","VS1",58,61,2559,5.83,5.85,3.39
1.23,"Premium","J","VS2",58,61,4338,7.07,7.03,4.09
0.51,"Ideal","E","VS2",61.9,57,1662,5.12,5.09,3.16
0.71,"Fair","I","VS1",57.1,57,2318,5.87,5.9,3.36
0.41,"Ideal","G","VS2",62.7,56,1061,4.77,4.74,2.98
1.01,"Good","G","VS1",64,60,6509,6.29,6.33,4.04
1.2,"Ideal","J","VS2",61.8,55,5318,6.84,6.86,4.23
0.7,"Very Good","F","VS2",61.6,60,2737,5.59,5.65,3.46
0.4,"Very Good","G","SI2",61.9,61,596,4.69,4.74,2.92
0.81,"Good","I","VS1",59.4,56,3042,5.97,6.11,3.59
0.32,"Good","F","SI2",63.8,55,540,4.35,4.34,2.77
1.01,"Very Good","D","VS1",63.1,58,7575,6.34,6.3,3.99
0.4,"Ideal","F","VVS1",62.5,57,1323,4.75,4.72,2.96
0.38,"Ideal","F","VS1",61.4,57,929,4.65,4.67,2.86
1,"Premium","D","SI1",61.5,60,5488,6.38,6.34,3.91
0.9,"Premium","F","SI2",61.1,54,3457,6.29,6.27,3.84
0.31,"Very Good","H","VVS2",62.4,58,625,4.28,4.31,2.68
0.7,"Ideal","G","VS2",62.9,56,2375,5.7,5.65,3.57
0.47,"Premium","H","VS1",61.8,58,1143,4.94,4.99,3.07
0.3,"Very Good","F","SI1",62.1,60,500,4.26,4.28,2.65
1.53,"Premium","H","VS2",62.7,56,11104,7.39,7.31,4.61
1.15,"Very Good","H","SI1",60.9,57,5047,6.72,6.8,4.12
0.35,"Ideal","F","VS2",62.1,56,906,4.57,4.54,2.83
1.5,"Ideal","H","SI2",62.8,55,8614,7.27,7.31,4.58
0.31,"Ideal","G","VVS1",62,54,789,4.38,4.39,2.72
1.35,"Ideal","G","VVS2",61.5,55,13230,7.11,7.16,4.39
0.41,"Ideal","J","VS1",62.7,56,703,4.73,4.77,2.98
1.35,"Very Good","I","SI2",58.6,63,5579,7.28,7.19,4.24
0.3,"Ideal","J","VS2",61.9,56,630,4.33,4.3,2.67
0.79,"Ideal","E","VS1",62,56,4240,5.9,5.93,3.67
1.02,"Premium","H","VS2",62.4,58,5356,6.39,6.43,4
1.02,"Premium","G","VS2",61.5,59,5250,6.4,6.45,3.95
0.7,"Premium","H","VS2",62.2,58,2074,5.69,5.72,3.55
1.24,"Ideal","E","SI1",63.5,55,7701,6.86,6.82,4.35
0.31,"Ideal","D","SI1",62.9,57,732,4.32,4.27,2.7
1.04,"Premium","G","SI1",62.8,57,4467,6.5,6.41,4.05
0.25,"Ideal","F","VS1",61.1,58,595,4.04,4.08,2.48
1.03,"Premium","F","VS1",61.7,56,6783,6.49,6.47,4
1.01,"Very Good","I","SI1",60.9,59,4207,6.39,6.45,3.91
0.7,"Very Good","E","SI2",61.5,60,2263,5.65,5.7,3.49
0.3,"Ideal","G","VVS1",61.4,57,764,4.32,4.35,2.66
0.31,"Ideal","I","VS1",61.9,54,461,4.33,4.36,2.69
1.04,"Premium","G","SI1",62.3,57,4467,6.5,6.46,4.04
1.1,"Ideal","F","SI2",60.4,55,4897,6.77,6.73,4.08
0.4,"Ideal","D","SI1",62,56,990,4.71,4.68,2.91
1.74,"Premium","H","SI1",61.6,59,8653,7.7,7.62,4.72
1.05,"Premium","H","SI2",61.4,58,4116,6.58,6.54,4.03
0.9,"Good","G","SI1",57.7,62,3226,6.29,6.23,3.61
0.3,"Fair","F","VVS2",65.5,61,743,4.19,4.15,2.73
1,"Very Good","F","IF",60.1,57,10346,6.45,6.52,3.9
0.3,"Ideal","I","VS1",61,56,608,4.37,4.35,2.66
1.71,"Premium","J","VS2",60.3,61,8887,7.74,7.69,4.65
0.91,"Very Good","H","VS1",59.4,63,4670,6.32,6.28,3.74
0.34,"Good","F","VS1",60.6,63,696,4.46,4.59,2.74
1.01,"Very Good","E","VS2",62.6,59,6956,6.35,6.39,3.99
0.3,"Ideal","E","VS2",61.6,56,658,4.27,4.3,2.64
1.01,"Premium","E","SI1",59.8,59,5543,6.52,6.48,3.89
0.8,"Ideal","E","SI1",61.1,56,4053,5.98,6.01,3.66
0.52,"Good","F","SI2",58.7,64,1350,5.24,5.26,3.08
0.35,"Premium","I","VS2",61.2,58,491,4.55,4.57,2.79
0.51,"Ideal","E","VS2",61.9,55,1781,5.17,5.13,3.19
0.74,"Premium","F","SI2",59.6,58,2328,5.91,5.87,3.51
0.5,"Premium","F","VS1",59.9,61,1666,5.16,5.13,3.08
1.71,"Ideal","G","VS1",61.4,57,17204,7.72,7.65,4.72
1,"Good","E","VS2",64,58,5376,6.24,6.2,3.99
1,"Very Good","I","VS2",63.2,58,3265,6.43,6.32,4.03
2.6,"Ideal","J","SI2",62.5,56,18369,8.81,8.76,5.49
1.54,"Premium","G","VS2",61.8,58,13120,7.43,7.39,4.58
1.46,"Premium","G","SI2",59.5,59,7931,7.34,7.29,4.35
1,"Premium","H","SI2",59.6,62,3640,6.52,6.41,3.85
0.3,"Very Good","E","SI1",60.6,56,526,4.35,4.37,2.64
1.06,"Ideal","G","SI1",60.5,57,5393,6.64,6.59,4
0.71,"Good","F","VS2",63.8,58,2801,5.64,5.61,3.59
0.32,"Ideal","D","VS1",61.8,56,736,4.39,4.41,2.72
0.51,"Ideal","G","VVS1",62.6,57,2111,5.14,5.08,3.2
0.24,"Very Good","E","VVS1",61.7,58,485,3.94,4,2.45
1.21,"Ideal","G","VS1",61.1,58,8699,6.9,6.87,4.21
1,"Very Good","E","IF",62.5,55,11214,6.28,6.39,3.96
0.7,"Premium","E","SI1",61,57,2777,5.73,5.68,3.48
1.67,"Very Good","I","VS2",60.7,60,10165,7.61,7.68,4.64
0.9,"Premium","H","VVS2",60.3,61,4355,6.25,6.22,3.76
0.57,"Very Good","E","SI2",61.2,57,1315,5.31,5.35,3.26
0.3,"Ideal","E","VVS2",61.9,58,766,4.27,4.29,2.65
0.43,"Ideal","F","SI1",61.6,57,1016,4.85,4.8,2.97
1.01,"Ideal","F","SI1",62.3,58,5646,6.35,6.42,3.98
0.9,"Premium","D","SI1",61.5,58,4304,6.21,6.15,3.8
0.93,"Ideal","G","SI2",61,54,3114,6.35,6.32,3.87
1.2,"Very Good","H","VS2",62.5,59,6870,6.76,6.72,4.21
0.7,"Very Good","J","SI2",63.6,56,1609,5.57,5.63,3.56
0.53,"Very Good","E","VS2",58.3,62,1607,5.26,5.31,3.08
0.33,"Very Good","G","VS1",61,57,652,4.46,4.49,2.72
2.24,"Ideal","F","SI2",60.3,59,17989,8.47,8.5,5.12
0.3,"Very Good","G","VS2",60.8,61,526,4.31,4.34,2.63
0.92,"Ideal","G","SI1",62.6,55,4249,6.22,6.24,3.9
0.3,"Ideal","H","SI1",61.6,57,572,4.28,4.32,2.65
0.26,"Premium","H","VS1",62.3,59,382,4.06,4.1,2.54
0.41,"Ideal","F","SI1",63,56,904,4.78,4.71,2.99
0.42,"Ideal","G","IF",62.4,57,1394,4.79,4.82,3
0.33,"Ideal","E","VS2",59.3,58,681,4.53,4.51,2.68
0.5,"Fair","H","VS2",62.4,69,1122,5.07,4.99,3.14
0.5,"Very Good","H","VS2",62.3,58,1302,5.05,5.12,3.17
0.74,"Ideal","I","VS1",60.8,57,2557,5.86,5.88,3.57
0.3,"Premium","H","VVS2",62.1,52,776,4.31,4.29,2.67
0.35,"Ideal","G","IF",62.3,55,1116,4.52,4.5,2.81
2.04,"Premium","I","SI2",60.2,59,15543,8.28,8.22,4.97
1.27,"Premium","G","SI1",61.4,59,7005,6.94,6.98,4.27
1.13,"Premium","H","SI1",62.1,58,5410,6.7,6.66,4.15
0.42,"Premium","D","SI1",60.2,57,970,4.89,4.85,2.93
0.3,"Premium","H","VS1",62.3,58,675,4.28,4.26,2.66
1.02,"Fair","J","SI2",65,59,3119,6.34,6.24,4.08
0.32,"Premium","I","VS1",61.9,58,648,4.4,4.36,2.71
1.73,"Premium","E","SI1",62.6,58,16253,7.67,7.59,4.78
1.05,"Very Good","E","VS1",63.1,59,7969,6.49,6.45,4.08
1.01,"Very Good","F","VS2",58.8,63,6257,6.51,6.56,3.84
1.13,"Very Good","H","SI1",60.1,60,4959,6.73,6.77,4.06
0.33,"Very Good","G","VVS1",61.2,57,795,4.47,4.5,2.74
1.06,"Very Good","F","SI2",61.8,56.4,5258,6.51,6.56,4.04
2.03,"Ideal","I","VS2",59.9,60,15826,8.17,8.27,4.92
0.52,"Ideal","D","VS1",60.9,56,1835,5.21,5.17,3.16
1.01,"Premium","E","VS2",59.5,60,5882,6.3,6.24,3.73
1.35,"Premium","H","VS1",62.3,58,8543,7.1,7.05,4.41
1.71,"Good","G","SI2",63.7,57,6847,7.54,7.5,4.79
0.7,"Premium","G","VVS1",61.2,56,3105,5.75,5.68,3.5
1.13,"Ideal","H","SI1",62.3,56,5384,6.66,6.69,4.16
0.43,"Premium","G","VS2",59.1,60,1113,4.93,4.88,2.9
1.2,"Ideal","I","SI2",59.6,61,4890,6.95,6.97,4.15
1.13,"Fair","F","VS1",64.5,55,7335,6.62,6.56,4.25
0.36,"Very Good","E","SI1",61.3,56,631,4.58,4.62,2.82
0.64,"Good","F","VS2",59.3,60.7,2063,5.59,5.66,3.34
1.11,"Fair","J","SI2",64.8,55.1,4056,6.44,6.55,4.21
0.33,"Premium","F","VS2",62.2,58,854,4.44,4.43,2.76
0.51,"Premium","F","SI2",62.1,56,1068,5.16,5.11,3.19
2.07,"Ideal","G","SI2",62.2,54,17614,8.16,8.21,5.09
0.36,"Ideal","E","VVS2",61.8,54,928,4.6,4.62,2.85
0.31,"Ideal","F","VS1",62.1,56,872,4.35,4.32,2.69
1.51,"Ideal","F","VS2",61.7,57,13325,7.37,7.31,4.53
1,"Fair","H","SI1",65.5,57,3511,6.26,6.21,4.08
0.62,"Premium","F","VS1",60.1,58,1942,5.56,5.48,3.32
0.53,"Very Good","G","SI1",60.2,57,1367,5.22,5.28,3.16
1,"Very Good","E","SI1",59.2,59,5718,6.49,6.55,3.86
0.29,"Very Good","E","VS1",61.4,61,481,4.22,4.25,2.6
1.02,"Premium","H","SI1",61.8,56,4102,6.47,6.42,3.98
0.27,"Ideal","D","IF",62.4,56,893,4.15,4.12,2.58
2.07,"Ideal","H","SI1",60.6,56,14935,8.38,8.3,5.05
1.33,"Premium","I","VS1",61.7,58,6390,7.09,7.14,4.39
0.72,"Premium","D","VS2",60.6,57,3205,5.82,5.79,3.52
0.9,"Ideal","G","SI1",62.2,56,3931,6.2,6.14,3.84
2,"Very Good","I","SI1",59.8,59,15053,8.12,8.17,4.87
0.3,"Very Good","G","VS1",62.2,59,605,4.24,4.28,2.65
1.2,"Very Good","D","VS2",63.5,58,9138,6.68,6.71,4.25
0.38,"Very Good","D","VS2",61,58,847,4.7,4.75,2.88
1.01,"Premium","F","SI2",58.8,62,4197,6.49,6.46,3.81
0.37,"Ideal","E","VS2",61.9,53,1041,4.65,4.62,2.87
0.32,"Premium","F","VS2",61.7,58,828,4.41,4.38,2.71
0.42,"Ideal","F","VVS1",62,55,1326,4.81,4.84,2.99
1.64,"Premium","E","SI1",61.8,59,12896,7.55,7.51,4.65
1.51,"Very Good","J","SI1",62.9,59,6942,7.25,7.29,4.57
1.24,"Premium","G","VS1",62,59,7800,6.92,6.88,4.28
0.51,"Premium","E","VS1",62.3,56,1837,5.14,5.13,3.2
0.7,"Very Good","E","SI2",59.8,58,2335,5.74,5.76,3.44
0.71,"Ideal","E","VS2",61.7,56,2709,5.73,5.75,3.54
0.71,"Ideal","D","SI2",61,56,2505,5.77,5.8,3.53
0.35,"Ideal","F","SI1",62.4,55,748,4.55,4.52,2.83
1.51,"Very Good","D","VS1",62.8,57,15513,7.23,7.29,4.56
1.79,"Premium","G","VS2",61.2,58,17358,7.9,7.82,4.81
0.54,"Ideal","G","VVS1",62.2,56,2236,5.22,5.2,3.24
1.72,"Premium","H","SI1",62,57,9551,7.67,7.63,4.74
1.74,"Ideal","G","VS2",62.9,57,16316,7.68,7.64,4.82
1.54,"Premium","F","SI1",60.9,59,11790,7.46,7.56,4.57
1.04,"Ideal","G","SI2",62,56,4752,6.52,6.49,4.03
1.04,"Premium","H","SI1",61,58,5090,6.6,6.54,4.01
2.28,"Premium","J","VS2",62.4,58,16369,8.45,8.35,5.24
1.01,"Good","I","VS1",64.2,60,3484,6.35,6.27,4.05
0.5,"Very Good","F","VS2",62.8,57,1402,5.05,5.08,3.18
0.32,"Ideal","E","SI2",62.7,55,449,4.39,4.42,2.76
0.7,"Very Good","G","VS1",60.8,56,2512,5.72,5.76,3.49
0.43,"Premium","G","VVS1",62.2,58,1207,4.78,4.83,2.99
1.5,"Very Good","I","VS2",58.2,60,9118,7.5,7.58,4.39
0.52,"Premium","G","VVS2",61.1,59,1911,5.15,5.2,3.16
0.33,"Very Good","E","SI1",63.4,55,743,4.4,4.37,2.78
0.31,"Premium","E","SI1",62.7,58,605,4.35,4.32,2.72
1.12,"Premium","H","VS1",62.1,58,5845,6.6,6.64,4.11
1,"Premium","F","SI1",59.7,60,4939,6.51,6.48,3.88
0.6,"Ideal","F","VVS2",61.8,57,2298,5.36,5.42,3.33
0.81,"Ideal","G","VVS2",61.7,55.1,4127,5.97,6.04,3.71
0.32,"Ideal","G","VVS1",60.3,58,779,4.44,4.48,2.69
0.32,"Good","E","SI1",63.1,56,524,4.34,4.37,2.75
2.08,"Ideal","J","SI1",61.6,58,13038,8.15,8.22,5.04
0.51,"Very Good","D","VVS2",62.4,58,2220,5.1,5.13,3.19
1.11,"Very Good","E","SI2",61.7,63,4177,6.65,6.54,4.07
0.34,"Ideal","I","IF",62.1,54,695,4.49,4.53,2.8
0.54,"Premium","G","VVS1",60.7,56,2236,5.3,5.25,3.2
1.11,"Very Good","H","SI1",63.2,58,5192,6.53,6.61,4.15
0.55,"Ideal","G","VVS1",62.6,56,2116,5.24,5.27,3.29
0.71,"Very Good","I","VS1",63.3,58,2198,5.68,5.66,3.59
1.21,"Premium","H","SI1",62.4,56,6566,6.83,6.79,4.25
0.33,"Premium","H","VS1",59.5,59,743,4.53,4.48,2.68
1.67,"Ideal","I","VS1",61.6,59,11975,7.64,7.61,4.7
0.24,"Very Good","D","VS1",62.2,58,419,3.95,3.99,2.47
0.9,"Very Good","F","SI1",63.4,58,3950,6.09,6.12,3.87
1.01,"Ideal","E","VS2",61.6,57,7198,6.43,6.46,3.97
2.24,"Ideal","I","SI2",62.1,53.6,15730,8.38,8.41,5.21
1.07,"Ideal","D","SI1",61.8,55,5767,6.54,6.59,4.06
0.7,"Premium","E","VVS1",61.7,59,3294,5.71,5.67,3.51
0.79,"Ideal","G","VS1",62,56,3413,5.91,5.93,3.67
0.53,"Ideal","G","IF",61.8,57,2247,5.18,5.22,3.21
1.11,"Premium","G","SI1",62.4,58,5750,6.65,6.61,4.14
1,"Ideal","F","SI2",61.3,57,4425,6.4,6.46,3.94
0.4,"Very Good","D","SI2",63.1,56,798,4.67,4.65,2.94
0.54,"Ideal","G","VVS2",60.6,56,1985,5.26,5.27,3.19
1.12,"Very Good","G","SI1",62.5,58,5088,6.6,6.64,4.14
2.02,"Fair","G","I1",68,55,6346,7.77,7.72,5.27
0.77,"Ideal","F","SI2",62,56,2107,5.92,5.86,3.65
2.12,"Very Good","H","SI2",62.3,59,16151,8.15,8.19,5.09
1.01,"Premium","G","I1",61.1,61,3014,6.49,6.35,3.92
0.5,"Fair","G","SI1",65,59,1050,4.99,4.97,3.24
0.97,"Premium","G","SI1",62.6,58,4400,6.24,6.18,3.89
0.31,"Ideal","H","VS1",62,54,698,4.39,4.35,2.71
1,"Ideal","F","SI2",61,55,3562,6.45,6.41,3.92
0.71,"Premium","F","SI2",59.6,59,2409,5.79,5.75,3.44
0.76,"Ideal","I","VS2",61.3,56,2793,5.87,5.91,3.61
0.3,"Ideal","H","VVS2",60.4,56,605,4.32,4.36,2.62
1.01,"Premium","E","SI1",59.2,60,5656,6.56,6.51,3.87
0.51,"Premium","G","SI1",60.9,58,1281,5.21,5.14,3.15
0.32,"Ideal","G","SI2",61.6,56,450,4.44,4.46,2.74
0.5,"Ideal","F","VS1",62.5,57,1838,5.09,5.06,3.17
0.33,"Very Good","G","SI2",59.4,59,434,4.5,4.52,2.68
0.37,"Good","H","SI1",64,55,528,4.53,4.57,2.91
0.32,"Ideal","H","VVS1",61.2,56,708,4.44,4.48,2.73
0.9,"Good","H","SI1",64.4,58,3465,6.04,6.08,3.9
0.5,"Very Good","H","VS2",61.8,63,1178,5.08,5.05,3.13
1.02,"Good","F","SI2",63.8,53,4162,6.37,6.46,4.09
1.06,"Ideal","H","SI2",59.9,58,4749,6.67,6.63,3.98
0.24,"Very Good","F","VVS1",62.5,55,608,3.98,4.02,2.49
0.32,"Premium","H","VS2",61.4,60,505,4.39,4.41,2.7
0.3,"Premium","H","VS2",62.5,58,608,4.28,4.26,2.67
0.55,"Very Good","G","VS2",62.3,56,1551,5.24,5.29,3.28
0.3,"Very Good","E","VS2",62,58,658,4.26,4.29,2.65
0.38,"Ideal","G","VS2",61.5,54.4,768,4.65,4.7,2.88
0.72,"Ideal","I","VVS2",61.3,56,2591,5.77,5.8,3.55
0.7,"Ideal","G","SI2",62.4,55,2232,5.66,5.72,3.55
2.04,"Ideal","J","SI1",62.6,55,12696,8.08,8.12,5.07
0.7,"Premium","E","VS1",62.2,58,2826,5.66,5.6,3.5
1.07,"Ideal","G","SI2",62.4,57,4419,6.56,6.58,4.1
0.91,"Very Good","E","VS2",59.4,59,4795,6.3,6.36,3.76
1.07,"Ideal","E","VVS2",61.4,56,10043,6.65,6.55,4.05
1.23,"Good","J","VS2",63.6,57,5386,6.79,6.74,4.3
1,"Premium","H","SI2",59.8,61,3360,6.24,6.17,3.71
0.91,"Premium","H","SI2",62.7,58,3363,6.17,6.14,3.86
0.31,"Ideal","D","SI1",62.1,56,732,4.37,4.33,2.7
1.01,"Ideal","E","VS1",61.5,57,7727,6.47,6.44,3.97
0.32,"Ideal","F","VVS1",61.1,56,827,4.42,4.45,2.71
0.56,"Ideal","E","VS2",62.6,57,1915,5.29,5.26,3.3
1.06,"Very Good","F","SI2",62.6,60,4634,6.54,6.44,4.06
0.33,"Ideal","F","VVS2",60.9,57,761,4.46,4.51,2.73
0.41,"Ideal","G","VS1",62.4,57,961,4.75,4.7,2.95
1.01,"Premium","G","VS1",60.8,58,6499,6.44,6.51,3.94
0.8,"Fair","G","SI2",64.6,55,2318,5.86,5.75,3.75
0.34,"Premium","F","SI1",59.3,60,727,4.58,4.52,2.7
1.03,"Fair","D","SI2",66.4,56,3743,6.31,6.19,4.15
2.24,"Premium","H","SI2",61.8,58,10913,8.41,8.34,5.18
1.04,"Ideal","E","SI2",61.4,56,4804,6.5,6.56,4.01
0.3,"Very Good","G","VVS2",61.6,60,684,4.24,4.27,2.62
0.27,"Ideal","F","VS2",60.9,57,577,4.17,4.2,2.55
1.27,"Ideal","G","VS2",62.8,54,8705,6.92,6.87,4.33
0.4,"Ideal","F","VS1",62,56,890,4.73,4.75,2.94
0.41,"Ideal","D","SI2",62.6,55,683,4.76,4.8,2.99
0.91,"Premium","D","SI2",61,61,3943,6.24,6.16,3.78
1.01,"Premium","G","VS2",62.9,58,6108,6.39,6.3,3.99
0.53,"Ideal","G","VVS2",61.4,57,2250,5.17,5.2,3.18
0.5,"Ideal","E","VS1",61.9,54.1,1759,5.09,5.15,3.17
0.46,"Very Good","E","VS1",58.7,60,1452,5.08,5.15,3
0.41,"Ideal","D","SI1",62.2,57,1015,4.76,4.7,2.94
0.4,"Premium","H","VS1",62.7,58.5,793,4.7,4.74,2.96
0.3,"Premium","F","VS2",62.5,58,605,4.26,4.28,2.67
0.4,"Ideal","H","VVS2",61.1,55,868,4.75,4.78,2.91
0.9,"Good","H","SI2",63.5,58,2889,6.09,6.14,3.88
1.04,"Premium","I","SI1",61.8,60,4368,6.51,6.47,4.01
0.56,"Ideal","E","SI1",61.7,56,1698,5.33,5.3,3.28
0.44,"Premium","F","VS2",62.2,58,990,4.88,4.83,3.02
0.72,"Ideal","J","SI1",61.7,56,1853,5.77,5.81,3.57
0.54,"Premium","H","VS1",61.3,58,1637,5.25,5.22,3.21
0.54,"Ideal","F","VS1",61.5,55,2202,5.26,5.27,3.24
1.6,"Very Good","E","SI2",62,57,9900,7.47,7.54,4.65
0.7,"Ideal","D","SI1",62.5,56,2612,5.67,5.73,3.56
0.71,"Very Good","H","VS1",62.8,58,2277,5.67,5.7,3.57
0.51,"Ideal","F","VVS1",60.9,57,2208,5.16,5.21,3.16
0.27,"Very Good","E","VS1",60.6,59,413,4.19,4.22,2.55
0.7,"Premium","E","SI1",60.5,58,2777,5.77,5.74,3.48
0.38,"Ideal","H","VS1",60.6,57,871,4.7,4.73,2.85
1.03,"Good","D","SI2",57.2,59,3743,6.66,6.63,3.8
1.2,"Ideal","H","VS1",62,57,7294,6.69,6.76,4.17
0.41,"Ideal","J","VS2",62.3,54,613,4.77,4.8,2.98
0.55,"Good","E","SI1",63.3,54,1138,5.21,5.24,3.31
0.52,"Ideal","F","VS1",62.2,55,1872,5.18,5.14,3.21
2.07,"Ideal","J","VS2",62.2,56,11500,8.2,8.16,5.09
0.56,"Ideal","H","VS2",61.8,54,1694,5.34,5.31,3.29
1.21,"Ideal","I","SI1",62.4,55,5218,6.81,6.78,4.24
1.5,"Ideal","I","IF",61.3,56,12725,7.34,7.41,4.52
0.9,"Good","F","SI1",63.9,58,3604,6.12,6.08,3.9
0.7,"Ideal","F","SI2",62.6,53,2011,5.72,5.69,3.57
1.22,"Premium","F","SI1",61.8,59,6887,6.86,6.83,4.23
0.31,"Ideal","D","SI1",61.3,56,565,4.36,4.41,2.69
1.51,"Very Good","F","SI1",62.1,55,11302,7.29,7.37,4.55
0.43,"Very Good","G","VS2",59.1,60,867,4.88,4.93,2.9
0.3,"Premium","D","VS2",62.5,58,911,4.29,4.26,2.67
0.7,"Good","H","I1",56.5,57,1134,5.97,5.86,3.33
1.11,"Premium","I","SI2",61.8,58,4120,6.61,6.66,4.1
2.01,"Premium","J","SI1",60.7,61,12209,8.15,8.1,4.93
0.32,"Very Good","G","VS1",62.4,58,645,4.35,4.4,2.73
0.59,"Ideal","I","SI2",62.8,57,1202,5.33,5.37,3.36
0.31,"Very Good","G","SI1",63.1,59,593,4.33,4.29,2.72
0.5,"Very Good","F","VS1",59.9,61,1550,5.13,5.16,3.08
0.4,"Very Good","G","SI1",59.2,61,702,4.78,4.81,2.84
0.38,"Premium","E","VS1",60.7,59,1069,4.7,4.65,2.84
0.74,"Very Good","H","SI2",62.8,59,2198,5.72,5.77,3.61
0.9,"Ideal","I","SI1",62.3,56,3251,6.18,6.12,3.83
0.94,"Premium","H","SI2",61.9,57,3335,6.29,6.21,3.87
0.53,"Ideal","D","VVS1",62,57,2732,5.16,5.2,3.21
0.62,"Ideal","H","VS1",61.8,54,1828,5.5,5.53,3.41
1.11,"Premium","G","VS2",60.8,58,6713,6.7,6.65,4.06
0.5,"Good","D","SI2",61.9,63,1175,5.05,5.07,3.13
0.9,"Good","H","VS1",64,59,3669,6.05,6.01,3.86
0.9,"Good","H","SI1",62.8,62,3447,6.05,6.09,3.81
0.3,"Ideal","H","VVS1",63,54,878,4.3,4.27,2.7
0.4,"Good","H","VVS2",63.2,55,877,4.7,4.73,2.98
0.71,"Very Good","I","VS1",61.1,57,2332,5.75,5.8,3.53
0.41,"Premium","F","VS1",62.6,58,1076,4.75,4.74,2.97
0.71,"Ideal","I","SI1",62.5,57,2218,5.69,5.74,3.57
0.31,"Very Good","D","SI2",62.5,55,462,4.3,4.34,2.7
0.31,"Premium","G","IF",61,59,988,4.36,4.33,2.65
1.51,"Ideal","F","SI1",61.7,56,13334,7.35,7.41,4.55
0.33,"Very Good","G","VVS2",63,56,672,4.42,4.47,2.8
0.31,"Ideal","G","VS2",62.2,54,562,4.34,4.38,2.71
0.34,"Ideal","D","VS1",61.1,55,838,4.52,4.55,2.77
1.53,"Very Good","E","VS1",60.7,60,14931,7.38,7.52,4.52
0.61,"Good","G","VS2",59.6,61.5,1821,5.47,5.52,3.27
2.05,"Ideal","F","SI2",62.2,57,12743,8.19,8.12,5.07
1.21,"Very Good","G","VVS2",60.4,56,9484,6.88,6.92,4.17
0.78,"Ideal","D","SI1",61.9,57,2799,5.91,5.86,3.64
0.53,"Very Good","G","VS1",63,58,1607,5.15,5.17,3.25
